hogar_id,ingreso_mensual
269,1555.0
270,2134.0
271,2707.0
272,2110.0
273,1910.0
274,1788.0
275,14129.0
276,2099.0
277,4753.0
278,2670.0
279,209.0
280,35504.0
281,2503.0
282,1564.0
283,7646.0
284,8831.0
285,1540.0
286,1233.0
287,1177.0
288,3366.0
289,2872.0
290,4868.0
291,2269.0
292,1617.0
293,2767.0
294,1538.0
295,4381.0
296,3563.0
297,4011.0
298,3672.0
299,1750.0
300,578.0
301,7341.0
302,
303,1329.0
304,5369.0
305,2852.0
306,2349.0
307,2486.0
308,1234.0
309,2237.0
310,2613.0
311,2971.0
312,1468.0
313,3462.0
314,1524.0
315,1628.0
316,2674.0
317,1686.0
318,1038.0
319,1593.0
320,1375.0
321,2783.0
322,4425.0
323,4094.0
324,
325,1835.0
326,3122.0
327,627.0
328,
329,
330,4465.0
331,388.0
332,3111.0
333,513.0
334,5440.0
335,389.0
336,741.0
337,3355.0
338,733.0
339,236.0
340,979.0
341,3590.0
342,900.0
343,968.0
344,2856.0
345,2458.0
346,
347,
348,1848.0
349,1344.0
350,6156.0
351,1380.0
352,967.0
353,3659.0
354,1470.0
355,657.0
356,4162.0
357,5317.0
358,886.0
359,1804.0
360,1646.0
361,2150.0
362,1691.0
363,685.0
364,2551.0
365,1867.0
366,2783.0
367,4372.0
368,4980.0
369,3578.0
370,265.0
371,1030.0
372,2685.0
373,5020.0
374,1035.0
375,1277.0
376,10865.0
377,283.0
378,1872.0
379,1398.0
380,1752.0
381,1829.0
382,4307.0
383,5621.0
384,34556.0
385,11532.0
386,2381.0
387,3112.0
388,6163.0
389,24550.0
390,2151.0
391,3550.0
392,2159.0
393,6967.0
394,790.0
395,2858.0
396,814.0
397,3192.0
398,5006.0
399,1795.0
400,2072.0
401,6668.0
402,2307.0
403,4089.0
404,2059.0
405,
406,1771.0
407,15167.0
408,1987.0
409,2658.0
410,7061.0
411,3486.0
412,4024.0
413,18017.0
414,5591.0
415,1279.0
416,
417,1534.0
418,1892.0
419,6345.0
420,2694.0
421,1980.0
422,1569.0
423,2872.0
424,2014.0
425,5810.0
426,3016.0
427,2223.0
428,35086.0
429,3332.0
430,1369.0
431,880.0
432,966.0
433,787.0
434,2336.0
435,2461.0
436,4185.0
437,1063.0
438,1683.0
439,1534.0
440,
441,2830.0
442,3649.0
443,6481.0
444,3050.0
445,2385.0
446,1737.0
447,1954.0
448,2429.0
449,2051.0
450,2060.0
451,12697.0
452,808.0
453,435.0
454,
455,8096.0
456,1997.0
457,
458,10271.0
459,2067.0
460,3015.0
461,1252.0
462,1465.0
463,1789.0
464,4702.0
465,8938.0
466,4532.0
467,1211.0
468,1300.0
469,1850.0
470,2555.0
471,4173.0
472,712.0
473,1041.0
474,
475,3801.0
476,3647.0
477,781.0
478,6146.0
479,4084.0
480,743.0
481,903.0
482,4423.0
483,844.0
484,4308.0
485,1638.0
486,4558.0
487,5630.0
488,
489,576.0
490,743.0
491,2361.0
492,10883.0
493,3989.0
494,811.0
495,5594.0
496,2413.0
497,7712.0
498,958.0
499,5667.0
500,8381.0
