dia,temperatura_C,ventas_helados,ahogamientos
106,14.1,146.0,1
107,32.8,317.0,3
108,22.8,245.0,5
109,15.6,168.0,2
110,19.5,195.0,4
111,27.2,268.0,5
112,30.4,232.0,5
113,26.0,284.0,4
114,5.7,84.0,1
115,18.2,180.0,0
116,5.2,137.0,0
117,24.4,256.0,2
118,6.7,119.0,1
119,19.9,230.0,3
120,11.4,176.0,2
121,13.5,128.0,1
122,24.8,308.0,4
123,25.7,267.0,2
124,9.2,93.0,3
125,23.4,241.0,3
126,31.8,342.0,4
127,7.5,91.0,2
128,16.5,184.0,3
129,20.4,197.0,5
130,8.8,58.0,0
131,29.6,268.0,5
132,32.0,283.0,4
133,13.0,133.0,0
134,19.1,231.0,1
135,18.0,189.0,7
136,26.8,287.0,5
137,21.4,238.0,3
138,13.8,144.0,2
139,9.2,109.0,1
140,20.1,188.0,3
141,33.5,347.0,6
142,10.7,96.0,3
143,33.4,283.0,9
144,10.9,145.0,2
145,25.4,242.0,2
146,5.9,137.0,0
147,23.2,210.0,3
148,6.5,99.0,1
149,12.3,149.0,1
150,13.6,129.0,2
151,33.4,313.0,8
152,21.7,227.0,3
153,13.2,150.0,1
154,10.6,121.0,0
155,34.5,372.0,8
156,11.4,136.0,1
157,17.7,172.0,1
158,17.7,196.0,3
159,33.6,339.0,6
160,16.6,157.0,3
161,22.1,198.0,1
162,8.4,136.0,3
163,6.7,100.0,0
164,16.3,218.0,3
165,10.4,175.0,0
166,32.1,296.0,5
167,9.8,116.0,4
168,8.5,116.0,1
169,27.5,272.0,5
170,17.0,204.0,4
171,32.7,311.0,4
172,16.2,197.0,5
173,17.7,199.0,3
174,22.0,179.0,4
175,23.2,205.0,3
176,16.9,223.0,6
177,25.4,262.0,4
178,14.2,139.0,3
179,23.5,292.0,1
180,14.0,196.0,1
181,27.2,232.0,4
182,6.7,100.0,1
183,24.6,254.0,3
184,23.3,228.0,5
185,28.8,258.0,1
186,24.8,267.0,5
187,19.3,198.0,5
188,9.1,117.0,0
189,17.4,233.0,3
190,31.3,299.0,5
191,20.5,187.0,3
192,14.3,162.0,3
193,27.3,284.0,4
194,33.0,346.0,6
195,13.6,169.0,1
196,14.5,127.0,3
197,17.4,163.0,2
198,14.4,152.0,5
199,28.0,255.0,5
200,25.0,264.0,4
201,17.4,168.0,0
202,15.9,203.0,0
203,27.1,297.0,4
204,7.2,107.0,2
205,26.1,222.0,2
206,13.0,172.0,0
207,16.8,195.0,3
208,5.3,85.0,1
209,32.5,299.0,2
210,29.9,282.0,2
211,17.9,175.0,2
212,16.0,167.0,2
213,8.1,133.0,1
214,21.9,212.0,3
215,12.5,183.0,1
216,20.5,183.0,4
217,14.9,204.0,1
218,22.6,249.0,1
219,32.8,318.0,7
220,32.6,297.0,6
221,29.6,258.0,5
222,28.1,303.0,2
223,18.1,188.0,5
224,28.5,250.0,2
225,23.0,243.0,2
226,26.8,234.0,2
227,21.3,229.0,1
228,5.8,102.0,2
229,24.3,293.0,2
230,19.0,135.0,5
231,30.1,306.0,8
232,6.5,93.0,1
233,16.6,185.0,0
234,14.7,172.0,3
235,21.4,224.0,1
236,31.4,298.0,3
237,32.3,314.0,4
238,14.8,152.0,1
239,17.4,160.0,3
240,32.7,280.0,3
241,31.8,315.0,5
242,11.8,162.0,0
243,7.1,115.0,1
244,21.6,198.0,4
245,8.8,154.0,2
246,6.2,82.0,0
247,29.8,267.0,5
248,6.8,91.0,1
249,21.6,232.0,3
250,18.9,150.0,3
251,10.6,104.0,2
252,6.5,145.0,1
253,18.5,177.0,2
254,8.2,86.0,2
255,20.8,189.0,2
256,33.7,276.0,4
257,34.2,325.0,5
258,20.6,206.0,3
259,15.1,182.0,3
260,31.5,226.0,3
261,20.6,232.0,1
262,24.6,230.0,2
263,27.6,311.0,3
264,16.1,132.0,2
265,6.2,106.0,1
266,7.0,82.0,1
267,5.5,67.0,1
268,30.3,287.0,5
269,32.9,311.0,5
270,17.1,138.0,3
271,7.0,90.0,2
272,6.5,164.0,2
273,34.7,314.0,5
274,33.5,350.0,4
275,16.8,148.0,5
276,23.6,237.0,4
277,19.3,257.0,2
278,16.1,192.0,3
279,27.6,247.0,6
280,15.1,134.0,4
281,33.2,324.0,3
282,18.1,185.0,1
283,27.7,263.0,4
284,22.3,187.0,4
285,29.3,314.0,4
286,18.9,165.0,4
287,26.0,253.0,1
288,11.4,140.0,1
289,8.8,147.0,2
290,23.1,215.0,2
291,13.1,110.0,2
292,34.6,330.0,6
293,11.5,133.0,2
294,10.7,99.0,1
295,16.2,163.0,1
296,17.4,192.0,2
297,9.4,141.0,4
298,19.2,227.0,4
299,29.1,311.0,5
300,16.7,202.0,1
301,11.7,124.0,1
302,7.5,110.0,2
303,9.2,116.0,2
304,17.1,164.0,3
305,15.8,129.0,0
306,6.4,93.0,2
307,33.1,331.0,6
308,33.6,298.0,5
309,13.5,174.0,0
310,27.8,260.0,7
311,20.8,222.0,4
312,31.1,296.0,8
313,14.8,196.0,2
314,26.8,254.0,6
315,24.6,317.0,1
316,29.9,299.0,3
317,31.5,272.0,6
318,28.5,272.0,7
319,10.4,100.0,3
320,29.4,280.0,2
321,16.8,169.0,6
322,23.5,277.0,2
323,12.3,178.0,1
324,13.6,172.0,2
325,8.7,110.0,0
326,9.8,134.0,0
327,17.5,185.0,0
328,30.6,350.0,2
329,22.4,243.0,4
330,12.3,158.0,3
331,10.3,113.0,2
332,23.3,217.0,2
333,30.5,269.0,4
334,25.8,258.0,2
335,16.9,217.0,2
336,34.5,288.0,3
337,20.3,187.0,3
338,13.1,136.0,4
339,20.4,249.0,4
340,20.9,244.0,2
341,26.8,277.0,3
342,34.2,317.0,7
343,15.8,152.0,3
344,12.5,185.0,0
345,17.3,166.0,2
346,21.9,230.0,3
347,10.1,143.0,1
348,21.2,213.0,2
349,12.1,185.0,1
350,10.7,149.0,0
351,24.3,197.0,4
352,29.2,301.0,8
353,24.3,207.0,5
354,34.0,286.0,1
355,21.1,222.0,2
356,26.3,292.0,4
357,9.9,139.0,1
358,11.4,138.0,5
359,32.2,305.0,2
360,20.1,209.0,2
361,18.8,195.0,6
362,7.9,63.0,2
363,33.1,341.0,6
364,6.7,45.0,2
365,13.0,145.0,0
